type produit;numero AMM;nom produit;type culture libelle;dose min par apport;dose min par apport unite;dose max par apport;dose max par apport unite;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;saison application min;saison application max;saison application min commentaire;saison application max commentaire; date decision;culture commentaire;
MFSC;1150022;ALTERNAZOTE;Autres;2.0;L/ha;2.0;L/ha;;;Autorisé;;;Tallage à début floraison (simultanément à la fertilisation azotée) ;Tallage à début floraison (simultanément à la fertilisation azotée) ;17/02/2016;Blé et céréales à pailles;
MFSC;1080007;SULCABAÏ;Grandes cultures;5000.0;kg/ha;5000.0;kg/ha;00;00;Autorisé;Au semis;Au semis;Apport avant mise en place des cultures;Apport avant mise en place des cultures;20/10/2015;Colza et crucifères Céréales : efficacité démontrée sur le blé dans les conditions d'emploi prescrites. Efficacité extrapolable aux céréales.;
MFSC;1140002;NUTRACTIF;Gazon de graminées;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;Autorisé sur gazon, golfs et terrains de sport;
MFSC;1140002;NUTRACTIF;Gazon de graminées;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Autorisé sur gazon, golfs et terrains de sport. Dose exprimée en gramme par m3 de support de culture.;
MFSC;1140002;NUTRACTIF;Cultures florales;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;;
MFSC;1140002;NUTRACTIF;Cultures florales;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Dose exprimée en gramme par m3 de support de culture;
MFSC;1140002;NUTRACTIF;Cultures maraîchères;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;;
MFSC;1140002;NUTRACTIF;Cultures maraîchères;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Dose exprimée en gramme par m3 de support de culture;
MFSC;1140002;NUTRACTIF;Autres;;;125.0;g/m3;;;Autorisé;;;;;23/09/2014;Pour les supports de culture destinés au semis et bouturage.;
MFSC;1140009;KORI FEUILLE;Arboriculture fruitière et vigne;;;2.0;kg/ha;;;Autorisé;;;6 feuilles étalées puis boutons floraux séparés;6 feuilles étalées puis boutons floraux séparés puis nouaison;;Vigne;
MFSC;1140010;OPALE;Grandes cultures;4.0;L/ha;4.0;L/ha;;;Autorisé;;;;;;Autorisé sur pomme de terre et lin. Applications/an.;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures légumières;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures ornementales;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures légumières;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Cultures légumières;3.0;g/Kg;3.0;g/Kg;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En plein terre;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Cultures ornementales;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Cultures ornementales;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;En enrobage de semences;
MFSC;1140012;PHYSIO PRO;Grandes cultures;8.0;kg/ha;8.0;kg/ha;;;Autorisé;;;En sortie d'hiver / printemps;;;Autorisé sur céréales et colza. La dose est à ajuster pour obtenir une concentration finale de 1,5 % dans l'engrais.  ;
MFSC;1140012;PHYSIO PRO;Grandes cultures;8.0;kg/ha;8.0;kg/ha;;;Autorisé;Printemps;Eté;;;;Autorisé sur maïs.La dose est à ajuster pour obtenir une concentration finale de 1,5 % dans l'engrais.   ;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;30.0;;30.0;;;;Autorisé;Au rempotage dans le substrat;;Multiplication;;;Autorisé sur plantes ligneuses à mycorhizes à arbuscules hors-sol.;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;250.0;;250.0;;;;Autorisé;Au semis;;1 application par an;;;Autorisé sur Plantes ligneuses à mycorhizes à arbuscules pleine terre.;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;200.0;;200.0;;;;Autorisé;A la plantation;;1 application par an;;;Autorisé sur plantes ligneuses à mycorhizes à arbuscules trempage de racines.;
MFSC;1202007;AEGYS SYM ARGILE;Cultures maraîchères;1.0;g/plant;2.5;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202007;AEGYS SYM ARGILE;Cultures maraîchères;8.0;kg/ha;10.0;kg/ha;;;Autorisé;;;;;;Maraîchage plein champ ;
MFSC;1202007;AEGYS SYM ARGILE;Gazons de graminées, jardins d'amateurs;100.0;g/100 m²;100.0;g/100 m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202007;AEGYS SYM ARGILE;Pépinière;3.0;kg/m3;5.0;kg/m3;;;Autorisé;;;;;;;
MFSC;1202007;AEGYS SYM ARGILE;Arboriculture fruitière et vigne;13.3;g/plant;13.3;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202006;AEGYS SYM HYDRO;Cultures maraîchères;0.1;g/plant;0.1;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202006;AEGYS SYM HYDRO;Cultures maraîchères;0.05;g/plant;0.05;g/plant;;;Autorisé;;;;;;Maraîchage plein champ;
MFSC;1202006;AEGYS SYM HYDRO;Arboriculture fruitière et vigne;0.25;g/plant;0.25;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202006;AEGYS SYM HYDRO;Arboriculture fruitière et vigne;0.25;g/plant;0.25;g/plant;;;Autorisé;;;;;; Plantation arboriculture;
MFSC;1202006;AEGYS SYM HYDRO;Gazons de graminées, jardins d'amateurs;15.0;g/100 m²;15.0;g/100 m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Cultures maraîchères;1.5;g/plant;1.5;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Cultures maraîchères;1.0;g/plant;1.0;g/plant;;;Autorisé;;;;;;Maraîchage plein champ;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Arboriculture fruitière et vigne;5.0;g/plant;5.0;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Arboriculture fruitière et vigne;8.0;g/plant;8.0;g/plant;;;Autorisé;;;;;;Plantation arboriculture;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Gazons de graminées, jardins d'amateurs;2.0;g/m²;2.0;g/m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202009;CONDOR;Cultures maraîchères;1.0;kg/ha;2.0;kg/ha;;;Autorisé;;;;;;;
MFSC;1202009;CONDOR;Arboriculture fruitière et vigne;0.5;kg/ha;1.5;kg/ha;;;Autorisé;;;;;;;
MFSC;1202009;CONDOR;Arboriculture fruitière et vigne;1.0;g/plant;2.0;g/plant;;;Autorisé;;;;;;;
MFSC;9810015;AQUAMIX;Autres;100.0;mL/m3;200.0;mL/m3;;;Autorisé;Printemps;Printemps;Apparition de l'hydrophobicité;;;Cultures hors-sol non alimentaires                          ;
MFSC;9810015;AQUAMIX;Autres;0.5;mL/L;1.0;mL/L;;;Autorisé;Printemps;Printemps;Apparition de l'hydrophobicité;;;Cultures hors-sol non alimentaires                    ;
