type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;1150022;ALTERNAZOTE;Matière séche (Min: 11.0 %, Max: 11.0 %)  | Matières organiques (Min: 8.0 %, Max: 8.0 %)  | Acide glutamique (Min: 1.16 %, Max: 1.16 %)  | pH (Min: 4.3 ., Max: 4.3 .) ;;Matière fertilisante;
MFSC;6090001;COTEN';;;;
MFSC;1080007;SULCABAÏ;Soufre exprimé en équivalent SO3 total (Min: 17.5 %, Max: 17.5 %)  | Oxyde de calcium (CaO) total (Min: 9.5 %, Max: 9.5 %)  | Matière séche (Min: 44.0 %, Max: 44.0 %) ;;Engrais apportant du calcium | Engrais apportant du soufre;
MFSC;1140002;NUTRACTIF;Glycine bétaïne (Min: 60.0 g/kg, Max: 60.0 g/kg)  | Activité cytokinique (Min: 200.0 µg BAP/kg, Max: 200.0 µg BAP/kg) ;;Stimulateur de croissance des plantes;
MFSC;1140009;KORI FEUILLE;Fer (Fe) total (Min: 4.6 %, Max: 4.6 %)  | Manganèse (Mn) total (Min: 1.6 %, Max: 1.6 %) ;;Engrais foliaire Fe, Mn;
MFSC;1140010;OPALE;;;Matière fertilisante | Engrais composés;
MFSC;1301002;OZOR;;;Matière fertilisante;
MFSC;1140012;PHYSIO PRO;;;Stimulateur de croissance des plantes;
MFSC;1120008;SYMBIVIT;;;Amendement - Engrais;
MFSC;1202007;AEGYS SYM ARGILE;;;Matière fertilisante;
MFSC;1202006;AEGYS SYM HYDRO;;;Matière fertilisante;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;;;Matière fertilisante;
MFSC;1202009;CONDOR;;;Matière fertilisante;
MFSC;9810015;AQUAMIX;;Tension superficielle à 20°C (Min: 33.0 mN/m, Max: 33.0 mN/m)  | Masse volumique à 20° C (Min: 1.0015 g/cm3, Max: 1.0015 g/cm3) ;Matière fertilisante;
MFSC;1100005;PLATINA;;;Matière fertilisante;
MFSC;1110007;CALCICOQUILLES SAMO;;;Amendement basique;
MFSC;1140006;CALCIMER T400 GR;;;Amendement minéral basique;
MFSC;1110006;PROVAL CU PLANT BOOSTER;;;Matière fertilisante;
MFSC;1130013;RETEXIA-NK;;;Amendement - Engrais;
MFSC;1110013;DPF;;;Matière fertilisante;
MFSC;1140003;EABVMO;;;Stimulateur de l'activité microbienne du sol;
MFSC;1112012;SANOVIT;;;Rétenteur d'eau;
MFSC;1303002;THAUCAL;;;Amendement basique;
MFSC;1306002;FERTEVIE-WAKE;N total (Min: 7.4 %, Max: 7.4 %)  | N organique (Min: 7.2 %, Max: 7.2 %) ;;Matière fertilisante;
MFSC;1130012;GEONORGP;C / N (Min: 6.8 %, Max: 6.8 %)  | N total (Min: 1.3 %, Max: 1.3 %)  | N organique (Min: 1.2 %, Max: 1.2 %)  | P2O5 total (Min: 1.33 %, Max: 1.33 %)  | Cuivre (Cu) total (Min: 0.0048 %, Max: 0.0048 %)  | Zn total (Min: 0.025 %, Max: 0.025 %)  | Fer (Fe) total (Min: 0.82 %, Max: 0.82 %) ;;Matière fertilisante;
MFSC;1140001;GREENACTIV;Glycine bétaïne (Min: 60.0 g/kg, Max: 60.0 g/kg) ;Activité cytokinique  (Min: 200.0 µg BAP/kg, Max: 200.0 µg BAP/kg)  | Entérocoques (Min: 1.0 germes/g, Max: 100.0 germes/g) ;Stimulateur de croissance des plantes;
MFSC;1140004;HICURE;N total (Min: 11.7 %, Max: 11.7 %)  | Acides aminés totaux (Min: 52.4 %, Max: 52.4 %)  | Acides aminés libres (Min: 10.6 %, Max: 10.6 %) ;;Matière fertilisante | Stimulateur de croissance des plantes;
MFSC;1308001;LYCC;N total (Min: 7.4 %, Max: 7.4 %)  | N organique (Min: 7.2 %, Max: 7.2 %) ;;Matière fertilisante;
MFSC;1301001;MYCOR;Propagules de Glomus intraradices souche CMCCROC7 - Minimum 50 propagules par gramme (Min: 0.03 %, Max: 0.03 %)  | Engrais organique NF U 42-001 / A10 (Min: 99.97 %, Max: 99.97 %) ;;Matière fertilisante;
MFSC;1120002;MELANGE  NP ABC;N total (Min: 14.0 %, Max: 14.0 %)  | P2O5 total (Min: 22.0 %, Max: 22.0 %)  | P2O5 soluble eau (Min: 20.0 %, Max: 20.0 %)  | SO3 soluble eau (Min: 25.0 %, Max: 25.0 %)  | Soufre exprimé en SO3 soluble eau (Min: 25.0 %, Max: 25.0 %) ;;Engrais NP + S;
MFSC;1130014;FERTIXIA NS;N ammoniacal (Min: 2.0 %, Max: 2.0 %)  | Soufre total (Min: 5.7 %, Max: 5.7 %)  | Azote (N) total (Min: 1.5 %, Max: 2.1 %) ;;Matière fertilisante;
MFSC;1140011;N-PROCESS;Acide glutamique (Min: 1090.0 mg/kg, Max: 0.0 mg/kg)  | Acide 3 indol, acétique (Min: 3.7 mg/kg, Max: 0.0 mg/kg) ;;Stimulateur de croissance des plantes;
MFSC;1170247;NITROGEN GR;Bradyrhizobium japonicum souche G 49  (Min: 1000000000 germes/g, Max: 1000000000 germes/g) ;;Matière fertilisante;
MFSC;1170248;NITROGEN;Bradyrhizobium japonicum souche G 49  (Min: 1000000000 germes/g, Max: 1000000000 germes/g) ;;Matière fertilisante;
MFSC;6120001;STOCKOSORB 660;Matière séche (Min: 95.9 %, Max: 95.9 %)  | Polymère (Min: 95.0 %, Max: 95.0 %)  | Capacité de rentention pour l'eau (dans une solution de Ca(NO3)2 (Min: 0.0 mL/g, Max: 5.6 mL/g)  | Capacité de rentention pour l'eau (dans l'eau distillée) (Min: 0.0 mL/g, Max: 250.0 mL/g)  | Granulométrie (Min: 0.2 mm, Max: 4.0 mm) ;;Rétenteur d'eau;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Matière séche (Min: 98.0 % MB, Max: 98.0 % MB)  | Azote total (Min: 22.0 % MB, Max: 22.0 % MB)  | Azote ammoniacal (Min: 14.0 % MB, Max: 14.0 % MB)  | Azote nitrique (Min: 8.0 % MB, Max: 8.0 % MB)  | P2O5 total (Min: 5.0 % MB, Max: 5.0 % MB)  | SO3 total (Min: 21.0 % MB, Max: 21.0 % MB) ;Sélénium (Se) (Min:  , Max:  )  | P2O5 soluble dans eau (Min:  , Max:  )  | SO3 soluble dans l'eau (Min:  , Max:  ) ;Engrais;
MFSC;6070002;OXYOM;;;Amendement organo-minéral;
